,index,genre,filename,year,old_index,source1,source2,sentence1,sentence2,score
5940,137.0,main-captions,MSRvid,2012test,201,none,none,A cat is playing a piano.,A man is playing a guitar.,0.6
8257,2454.0,main-news,MSRpar,2012test,8,none,none,"In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.","In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.",2.0
2186,,,,,,,,"A former candidate for governor of New York, he styled himself an advocate of better corporate governance.","Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.",5.0
16373,,,belief,2015,,,,"kill off the weak, and shit won't cost so much for the rest of us.","i'm terrified, and dh doesn't talk about it much but he's nervous too.",0.0
123,,,,,,,,I have no doubt whatever that the evidence of Iraqi weapons of mass destruction will be there.,"""I have said throughout ... I have absolutely no doubt about the existence of weapons of mass destruction.",5.0
11779,,,SMTeuroparl,2012test,,,,Maij-Weggen report (A5-0323/2000),"The report Maij-Weggen, A5-0323/2000 --",5.0
5138,,,,,,,,"The New York Democrat and former first lady has said she will not run for the White House in 2004, but has not ruled out a race in later years.",The former first lady has said she will not run for the White House in 2004 but has not ruled out a race later on.,5.0
11337,5534.0,main-news,headlines,2015,1460,none,none,FAA continues ban on US flights to Tel Aviv,FAA lifts ban on U.S. flights to Tel Aviv,1.8
1741,,,,,,,,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.",1.0
13835,,,surprise.OnWN,2012test,,,,state of being active,the state of being active.,5.0
3486,,,,,,,,"The two forms account for about 30 percent of the approximately 7 million immigration benefits applications received annually, immigration officials said.",The two forms constitute 30 percent of the 7 million applications filed to the bureau each year.,5.0
907,,,,,,,,"The United States says 1,882 Americans remain listed as missing in action and unaccounted for from the Vietnam War.","America says 1,882 of its service personnel are listed as missing in action and unaccounted for.",5.0
6180,377.0,main-captions,MSRvid,2012test,570,none,none,A group of people sing.,Some people are singing.,5.0
2706,,,,,,,,"He said the local organized crime police were investigating a suspect, but he would not confirm if it was the 24-year-old cited by Bitdefender.","He said the local organized crime police were investigating a suspect, but he would not say if it was Ciobanu.",5.0
5364,,,,,,,,"The subjects were next given a squirt up the nose of a rhinovirus, the nasty little germ that causes colds.","Following their assessment, each volunteer received a squirt in the nose of rhinovirus the germ that causes colds.",5.0
1312,,,,,,,,"Ultimately, however, Mrs Clinton decided she still loved her husband – although ""as a wife, I wanted to wring Bill's neck"".","She says she stayed in the marriage because she still loved him, although, ""as a wife, I wanted to wring Bill's neck"".",5.0
978,,,,,,,,"Under the new pricing scheme, Universal would lower its wholesale price on a CD to $9.09 from $12.02.",The company said it would cut the wholesale price of most top-line CDs to $9.09 from $12.02.,5.0
9582,3779.0,main-news,headlines,2013,37,none,none,"Stocks rise early after Greek deal, then flatten",Stocks edge higher after Greek debt deal,3.6
14750,,,OnWN,2014,,,,the act of substituting one thing for another,the act of furnishing an equivalent person or thing in the place of another.,3.4
15000,,,OnWN,2014,,,,the foremost part of something,the first part or section of something.,4.0
5754,,,,,,,,But plaque volume increased by 2.7 percent in pravastatin patients.,The volume of plaque in Pravachol patients' arteries rose by 3%.,5.0
7971,2168.0,main-forum,deft-forum,2014,168,none,none,claims about trayvon's character And when did I do that?,slanted blogs And when did I do that?,2.6
1872,,,,,,,,"Ms. Haque, meanwhile, was on her turquoise cellphone with the smiley faces organizing the prom.","Fatima, meanwhile, was on her turquoise cell phone organizing the prom.",5.0
11488,5685.0,main-news,headlines,2016,1086,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),CCTV of gunmen in Tunisia museum attack,19 killed in Tunis museum attack,1.0
4629,,,,,,,,Dowdell was transported to Boston Medical Center with nonlife-threatening injuries.,Both were taken to Boston Medical Center.,1.0
10367,4564.0,main-news,headlines,2014,269,none,none,N Korea says it may delay controversial rocket launch,N. Korea looks set to delay controversial rocket launch,4.2
8178,2375.0,main-forum,deft-forum,2014,375,none,none,billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.53333333333333
1372,,,,,,,,The poll shows Bill White supported by 53 percent of surveyed voters -- Orlando Sanchez by 35 percent.,"The latest 11 News/Houston Chronicle Poll shows White supported by 53 percent of surveyed voters, far ahead of Orlando Sanchez's 35 percent.",5.0
5185,,,,,,,,U.S. Agriculture Secretary Ann Veneman said she will send a U.S. technical team to Canada to assist in the situation.,"U.S. Agriculture Secretary Ann Veneman, who announced yesterday's ban, also said Washington would send a technical team to Canada to assist in the Canadian situation.",1.0
14163,,,OnWN,2013,,,,decide the amount to be paid on an insurance claim,decide how much is to be paid on an insurance claim.,4.6
5563,,,,,,,,"He caused a stir by misnaming the mayor of Miami, Manny Diaz.","He greeted the mayor of Miami, Manny Diaz, as ""Alex.""",1.0
7955,2152.0,main-forum,deft-forum,2014,152,none,none,My teachers have told me it is bad for you.,officers have told me its bad for you.,2.2
1769,,,,,,,,"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,1.0
322,,,,,,,,"It is essential that proceedings against accused terrorists both be fair and appear fair to outside observers, he said.","It is essential that the proceedings against accused terrorists be fair -- and appear to be so to outside observers, Sonnett said.",5.0
2336,,,,,,,,The new contract extends the guarantee that his annual pay and bonus will be at least $2.4 million a year.,The contract sets his annual base salary at $1.4 million and his target bonus at a minimum of $1 million.,5.0
12364,,,surprise.SMTnews,2012test,,,,But the returns that make US stock markets so attractive reflect a delicate political balance.,But the returns that make us markets of securities if attractive reflect a fragile political balance.,5.0
387,,,,,,,,"Officers threw him to the ground and handcuffed him, and Reyna dropped a knee into his back, according to testimony.","That's when officers threw him to the ground and handcuffed him, according to testimony.",1.0
4840,,,,,,,,"An experimental drug can slow the loss of vision caused by an eye disease that is the leading cause of blindness among the elderly, researchers have found.","An experimental drug can slow the loss of vision caused by a maddening eye disease that is the leading cause of blindness among the elderly, doctors reported on Saturday.",5.0
13376,,,surprise.OnWN,2012test,,,,people assembled together in a rhythmic movement,a party of people assembled for dancing.,4.25
13775,,,surprise.OnWN,2012test,,,,warn or call to a sense of preparedness,warn or arouse to a sense of danger or call to a state of preparedness.,4.5
7524,1721.0,main-captions,images,2015,671,none,none,A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.,A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side.,2.4
9200,3397.0,main-news,MSRpar,2012train,677,none,none,"The third appointment was to a new job, executive vice president and chief staff officer.","Bruce N. Hawthorne, 53, was named executive vice president and chief staff officer.",3.25
4490,,,,,,,,The unusual decision to declassify an intelligence report came in an attempt to quiet a growing controversy over Mr Bush's allegations about Iraq's weapons programs.,The unusual decision to declassify a major intelligence report was a bid by the White House to quiet a growing controversy over Bush's allegations about Iraq's weapons programs.,5.0
11190,5387.0,main-news,headlines,2015,1073,none,none,India Ink: Image of the Day: July 2,India Ink: Image of the Day: March 4,3.0
3319,,,,,,,,"He added, ""I am not giving any consideration to resignation.""","I am not giving any consideration to resignation,"" Shumaker said in a statement.",5.0
601,,,,,,,,"The intelligence service, headed by Mr. Fujimori's spy chief, Vladimiro Montesinos, was accused of tortures, drug trafficking and disappearances.","The head of the intelligence service under Mr. Fujimori, Vladimiro Montesinos, was accused of tortures and disappearances.",5.0
16357,,,belief,2015,,,,thankfully the silent majority are overwhelmingly in favour of this plan and the opposition are a minute fringe pressure group way out of touch with most of the population.,and the only reason they are there is because of insane student loan practices that are identical in everyway to the insane mortgage loan practices.,0.0
15258,,,OnWN,2014,,,,the act of preserving or protecting something,draw up an outline or sketch for something.,0.0
2996,,,,,,,,The broad Standard & Poor's 500 index slipped 12.27 points or 1.23 percent to 981.73.,"The S.& P. 500 slipped 12.27 points, or 1.2 percent, to 981.73.",5.0
5938,135.0,main-captions,MSRvid,2012test,199,none,none,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,4.0
9852,4049.0,main-news,headlines,2013,370,none,none,Australian among four on plane missing in Indonesia,Iranian painter Mansoureh Hosseini dies,0.0
19,,,,,,,,The two had argued that only a new board would have had the credibility to restore El Paso to health.,He and Zilkha believed that only a new board would have had the credibility to restore El Paso to health.,5.0
11545,5742.0,main-news,headlines,2016,1443,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),"France shuts mosque, arrests man in crackdown after attacks",Security tightened at New Delhi churches after attacks,2.0
16249,,,belief,2015,,,,just can't stop feeling this way.,wish i could stop thinking this way.,4.0
4683,,,,,,,,I loved the Brazilian music I played.,"""I've played Brazilian music, but I'm not Brazilian.",1.0
2089,,,,,,,,"The seizure occurred at 4am on March 18, just hours before the first American air assault.",The seizure at 4 a.m. on March 18 was completed before employees showed up for work that day.,1.0
7599,1796.0,main-captions,images,2015,897,none,none,a white dog running in the snow,The dogs are running in the snow.,3.2
9578,3775.0,main-news,headlines,2013,29,none,none,China's Cabinet promises to boost economy,China's Wen promises job creation,3.2
16150,,,belief,2015,,,,don't cook for him - he's a grown up.,don't worry about him - he's a grown up.,3.6
5380,,,,,,,,SPOT products run a Microsoft operating system and the company's DirectBand radio technology developed with SCA Data Systems.,The DirectBand network was developed with the assistance of SCA Data Systems.,1.0
14417,,,OnWN,2013,,,,raise or haul up as if with a mechanism,affect with or as if with a cramp.,0.8
3414,,,,,,,,Seven Air Force Academy cadets face punishment for allegedly drinking with two high school girls.,Seven Air Force Academy cadets face punishment for drinking with two high school girls in the latest incident to embarrass the academy.,1.0
6195,392.0,main-captions,MSRvid,2012test,594,none,none,A person is adding food in a pan.,A woman puts rice into a pan.,3.0
3639,,,,,,,,The findings were reported online in the June 1 edition of scientific journal Nature Medicine.,The findings are published in today's edition of the journal Nature Medicine.,5.0
7324,1521.0,main-captions,images,2015,89,none,none,"Many people are in the bicycle racing, including one man in a three-wheeled bike.",A man riding on a three-wheeled wheelchair.,2.6
6757,954.0,main-captions,MSRvid,2012train,679,none,none,A group of couples are dancing.,Men and women are dancing slowly.,3.333
16196,,,belief,2015,,,,the entire caribbean ocean has been poisoned.,the entire caribbean poisoned?,3.2
720,,,,,,,,The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved.,"U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.",5.0
9841,4038.0,main-news,headlines,2013,358,none,none,Scientists Resurrect Flowers from Prehistoric Seeds,"Nintendo trims red ink, lowers forecast for year",0.0
8090,2287.0,main-forum,deft-forum,2014,287,none,none,There is no war in the Middle east.,"There is no ""WAR"" in the middle east.",4.6
4414,,,,,,,,"The Nasdaq Composite Index lost 16.95, or 1.1 percent, to 1507.76, its first slide in five days.","The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",1.0
2500,,,,,,,,Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes.,Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24.,5.0
9277,3474.0,main-news,deft-news,2014,24,none,none,russian officials have called for a conference on the conventional forces in europe treaty to discuss ratification of the amended treaty.,antonov spoke the day before a conference on the conventional forces in europe treaty.,3.2
196,,,,,,,,"The broader Standard & Poor's 500 Index <.SPX> gave up 11.91 points, or 1.19 percent, at 986.60.","The technology-laced Nasdaq Composite Index .IXIC declined 16.68 points, or 1.01 percent, at 1,636.94.",1.0
15868,,,tweet-news,2014,,,,Fortunes of Facebook may hinge on search - is this the Big Reveal?,Fortunes of Facebook May Hinge on Searches,4.0
5215,,,,,,,,"Once identified, remains of terrorists are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan.","Once identified, terrorist remains are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan where the unidentified remains are stored.",5.0
2152,,,,,,,,"After losing as much as 84.56 earlier, the Dow Jones industrial average closed up 22.81, or 0.2 percent, at 9,340.45.","In midday trading, the Dow Jones industrial average lost 68.84, or 0.7 percent, to 9,248.80.",1.0
14330,,,OnWN,2013,,,,a military aircraft that drops ordinance,a military aircraft that drops bombs during flight.,3.0
13490,,,surprise.OnWN,2012test,,,,culminating event,be the culminating event.,3.75
12824,,,SMTeuroparl,2012train,,,,"From the first discussions on this dossier, which were held at European level at the initiative of the European Parliament, the Commission has given a commitment to the Member States to pursue a course of action designed to develop what we might call a European police culture, grounded in the highest standards of duty, respect for the rights and freedoms of our citizens and efficiency in the fight against crime.","Since the initial reflections on this issue, which took place at European level at the initiative of the European Parliament, the Commission is committed towards the Member States to promote action to develop what we could consider it as a police European culture, focused on the highest standards in the field of ethics, respect for the rights and freedoms of the people, and effectiveness in the fight against crime.",4.2
16207,,,belief,2015,,,,so you agree that if only 10% of what hacks like you say were true then our wonderful country would have folded in 1777?,"like i said earlier, if only 10% of the horseshit you rightwing bitches said were true then our wonderful country would have folded like a cheap suit in or about 1777.",5.0
15174,,,OnWN,2014,,,,Manipulate or move something in order to operate.,act or move at high speed.,1.2
7884,2081.0,main-forum,deft-forum,2014,81,none,none,"pressing one does not ""do"" english.",Pressing one does send a tone.,1.8
10444,4641.0,main-news,headlines,2014,361,none,none,The e-mails - Oil firm asked trader about meeting with minister,Oil firm asked rogue trader about meeting with minister,4.2
4258,,,,,,,,"The Seattle band's groundbreaking grunge anthem is No. 1 on VH1's list of the ""100 Greatest Songs of the Past 25 Years.""",See the complete list of VH1's '100 Greatest Songs of the Past 25 Years.,1.0
15680,,,tweet-news,2014,,,,North Korea?s Missile Movements Worry U.S.   THOM SHANKER and DAVID E. SANGER,Movement of Missiles by North Korea Worries U.S.,3.8
862,,,,,,,,The Bush administration said Monday it will propose a rule change allowing governors to seek exemptions from a policy blocking road-building in remote areas of national forests.,"The Bush administration wants to let governors seek exemptions from a ban on mining, drilling and logging in one-third of the national forests.",1.0
6441,638.0,main-captions,MSRvid,2012train,210,none,none,A kid is playing an instrument.,A young boy is playing a wind instrument.,3.8
11737,,,SMTeuroparl,2012test,,,,Let me remind you that our allies include fervent supporters of this tax.,"I would like to remind you that one of our allies, there are ardent supporters of this tax.",4.5
9497,3694.0,main-news,deft-news,2014,244,none,none,ahmad is fighting extradition to the united states and lodged a formal complaint alleging that british police concocted intelligence reports to implicate ahmad in terror activities and desecrated the koran.,ahmad lodged a formal complaint with the independent police complaints commission alleging that british police concocted intelligence reports to implicate ahmad in terror activities and desecrated ahmad's copy of the islamic holy book the koran by putting the koran on the floor during a search of ahmad's home.,3.4
10074,4271.0,main-news,headlines,2013,649,none,none,Deadline passes with no new Iran sanctions,EU Moves Closer to New Iran Sanctions,1.6
7376,1573.0,main-captions,images,2015,234,none,none,Three children and playing and laughing on the floor.,Three children playing on the floor.,3.8
11306,5503.0,main-news,headlines,2015,1388,none,none,US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,5.0
9008,3205.0,main-news,MSRpar,2012train,400,none,none,"""This is an easy case in my view and wholly without merit, both factually and legally.""","""This case is wholly without merit, both factually and legally,"" Judge Denny Chin scoffed.",3.25
5999,196.0,main-captions,MSRvid,2012test,290,none,none,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,2.0
16293,,,belief,2015,,,,"spring 1959 graduates from sterling high school in greenville, south carolina.","april/may/june 1963 becomes a leader of civil rights demonstrations in greensboro, north carolina.",0.6
11886,,,SMTeuroparl,2012test,,,,Maij-Weggen report (A5-0323/2000),Mrs Maij-Weggen report (A5-0323 / 2000),4.75
3686,,,,,,,,On average the students suffered at least one of the 13 symptoms between three and 11 times in the last year.,"Based on having at least one of these symptoms, most students were hung over between three and 11 times in the past year.",5.0
14680,,,OnWN,2014,,,,"make more common, uniform or general",draw from specific cases for more general cases.,1.6
1395,,,,,,,,"If convicted of the spying charges, he could face the death penalty.",The charges of espionage and aiding the enemy can carry the death penalty.,5.0
5003,,,,,,,,"Harry Potter and the Order of the Phoenix, by J.K. Rowling, Scholastic, 870 pages, $29.99.","In ''The Order of the Phoenix,'' Harry is 15, and fully a teenager at last.",1.0
9243,3440.0,main-news,MSRpar,2012train,735,none,none,Hotly contested legislation that would change the state's takeover law and help a Michigan-based development company fend off a takeover cleared the state Senate on Thursday.,Legislation that would change state takeover law and help Bloomfield Hills-based Taubman Centers Inc. fend off a $1-billion takeover won committee approval Tuesday.,2.75
5539,,,,,,,,"Yesterday, this honor was given to Firefighter Thomas C. Brick, who died last Tuesday battling a fire in an Upper Manhattan warehouse.","They were there to honor Brick, who died Tuesday battling a four-alarm blaze in an upper Manhattan warehouse.",5.0
1212,,,,,,,,The samples would be used to find genes involved in diseases with particularly high rates among blacks like hypertension and diabetes.,"The samples would be used to find genes involved in diseases that have a particularly high incidence among African-Americans, such as hypertension and diabetes.",5.0
102,,,,,,,,"If the magazine lost more than $4.2 million in a fiscal year, O'Donnell would be allowed to quit.","If Rosie lost more than $4.2 million in a fiscal year, O'Donnell - by contract - would have been permitted to quit.",5.0
8999,3196.0,main-news,MSRpar,2012train,386,none,none,"For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent.","For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.",1.8
3016,,,,,,,,"At his request, he will be reassigned within the district.",District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district.,5.0
7448,1645.0,main-captions,images,2015,452,none,none,Two hockey players fighting on the ice.,Two hockey players in a struggle on the ice.,4.8
14848,,,OnWN,2014,,,,To move (the head or body) quickly downwards or away (from something).,to move (the head or body) quickly downwards or away.,4.6
