	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3683								Malvo's attorneys mounted an insanity defense, arguing that Muhammad's indoctrination left him unable to tell right from wrong.	Malvo's lawyers have presented an insanity defense, saying brainwashing by convicted sniper John Allen Muhammad left Malvo incapable of knowing right from wrong.	5.0
9822	4019	main-news	headlines	2013	337	none	none	Nine killed in gun attack in Pakistan	Five million citizens get unofficial salary in Ukraine	0.0
9357	3554	main-news	deft-news	2014	104	none	none	an indian government official spoke on condition of anonymity.	the official spoke on condition of anonymity.	3.4
10510	4707	main-news	headlines	2014	443	none	none	Syria envoy calls for National Unity Government	Syria envoy calls for political change to end conflict	2.2
5169								The WHO says the latest case does not fit its profile of SARS and is not a public health concern.	The WHO has said the Singapore case did not fit its profile of SARS and was \"not an international public health concern.\"	5.0
3285								Derek Jeter took batting practice on the field for the first time since dislocating his left shoulder on Opening Day and expects to begin a minor league rehab assignment tomorrow.	Jeter, who dislocated his left shoulder in a collision March 31, took batting practice on the field for the first time Monday.	0.0
4424								The disagreement over online music sales was disclosed in documents filed last week with the judge and made available by the court yesterday.	The fight over online music sales was disclosed in documents made available Monday by the court.	5.0
1514								Leung faces a sentence of up to 50 years if convicted on all counts.	Smith, who faces a maximum 40 years in prison if convicted, is free on $250,000 bond.	0.0
2516								He says that \"this is a time when we priests need to be renewing our pledge to celibacy, not questioning it.	\"This is the time we priests need to be renewing our pledge to celibacy, not questioning it,\" he wrote.	5.0
6461	658	main-captions	MSRvid	2012train	241	none	none	A man is dangling a mouse near a snake.	A man is feeding a mice to a snake.	3.2
8091	2288	main-forum	deft-forum	2014	288	none	none	He had no intention of apprehending him.	- I didnt say he planned on apprehending him.	2.4
8253	2450	main-news	MSRpar	2012test	0	none	none	The problem likely will mean corrective changes before the shuttle fleet starts flying again.	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.	4.4
5680								After a tense stand-off, the battlewagon turned back.	After the French threatened to open fire, the battlewagon turned back.	5.0
7829	2026	main-forum	deft-forum	2014	26	none	none	People exploited the laws.	People bent the laws.	2.8
5510								Belgium said Saturday it has decided to scrap a controversial war crimes law which has seen cases launched against President Bush and Israeli Prime Minister Ariel Sharon.	Belgium said yesterday that it has decided to scrap a war crimes law used to launch cases against President Bush and Prime Minister Ariel Sharon of Israel.	5.0
7543	1740	main-captions	images	2015	731	none	none	A man climbing a cliff face.	A man climbs a sheer cliff face.	4.8
7598	1795	main-captions	images	2015	890	none	none	A woman in a blue shirt and tan shorts sits at a table.	A smiling young woman in a tourquoise shirt and bandanna poses at table outdoors.	3.2
6673	870	main-captions	MSRvid	2012train	550	none	none	A woman is cooking broccoli.	A man is eating his food.	0.5
8617	2814	main-news	MSRpar	2012test	554	none	none	Costa's semifinal opponent is Spaniard Juan Carlos Ferrero, whom he beat in last year's final.	Costa will play Juan Carlos Ferrero next in a rematch of last year's final.	3.75
2744								Doctors would face fines and up to two years in prison for performing the procedure, except as a lifesaving step.	Physicians who perform the procedure would face up to two years in prison, under the bill.	0.0
4001								Mizuho's (JP:8411: news, chart, profile) shares closed up 3,500 yen, or 4.8 percent, to 76,800 yen.	Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) lost 2.6 percent to 444,000 yen.	0.0
10568	4765	main-news	headlines	2014	521	none	none	Pope Benedict XVI Says Goodbye to Cardinals	Pope Benedict XVI departs Vatican for last time	3.6
8918	3115	main-news	MSRpar	2012train	249	none	none	The Portuguese weather service said Europe's heatwave was caused by a mass of hot, dry air moving from the southeast.	The heatwave was due to a mass of hot, dry air from the southeast, said Mario Almeida of Portugal's weather service.	4.056
5927	124	main-captions	MSRvid	2012test	184	none	none	A monkey is swinging from limb to limb.	A monkey is swinging from tree to tree.	3.4
7735	1932	main-captions	images	2015	1308	none	none	Two people holding hands and walking in a field.	Two men walking past a mural of a car.	1.2
1493								Added Mr. Prodi: \"Maybe, but the old age helps us to understand our strengths and our weakness.\"	\"Maybe, but the old age helps us to understand our strength and our weakness and the reality of the world.	0.0
6239	436	main-captions	MSRvid	2012test	654	none	none	Two teams are playing soccer.	Different sets of teams are playing football on a field.	2.5
6994	1191	main-captions	images	2014	283	none	none	Two white horses staring over a fence.	Two horses standing in a pen.	3.0
5802										0.0
1210								Handspring's shareholders will receive 0.09 Palm shares (and no shares of PalmSource) for each share of Handspring common stock they own.	The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.	5.0
6229	426	main-captions	MSRvid	2012test	638	none	none	A man sharpens a pencil using a knife.	A woman is dancing in the rain.	0.0
398								The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.	The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.	0.0
7285	1482	main-captions	images	2014	724	none	none	A black and white cow looking through the fence.	A black and white cat laying on the ground in the sun.	0.6
9749	3946	main-news	headlines	2013	243	none	none	2 Traffic Accidents Leave 47 Dead in China	3 traffic accidents leave 56 dead in China	2.4
2186								A former candidate for governor of New York, he styled himself an advocate of better corporate governance.	Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.	5.0
11116	5313	main-news	headlines	2015	898	none	none	Hot-Air Balloon Catches Fire in Virginia	Hot Air Balloon 'Catches Fire And Crashes'	2.8
4905								Johnson and four other protesters were arrested soon afterward for blocking the roadway, a state misdemeanor.	Johnson and four other protesters, ages 69 to 86, were arrested for blocking the roadway.	0.0
9109	3306	main-news	MSRpar	2012train	551	none	none	He explained that he found Antetonitrus when he came to Wits in 2001 as a post-doctoral research assistant at England's University of Bristol.	He explained that he found antetonitrus when he came to Wits in 2001 while a post-doctoral research assistant at Bristol University in Britain.	5.0
7774	1971	main-captions	images	2015	1399	none	none	A black dog is running in the grass.	A black and a brown dog running in the grass.	3.2
14								Evidence suggests two of the victims were taken by surprise, while the other two might have tried to flee or to defend themselves or the others, police said.	Evidence suggests two victims were taken by surprise, while the others may have tried to flee or perhaps defend themselves or their friends, police said.	5.0
9326	3523	main-news	deft-news	2014	73	none	none	iran's nuclear projects are for peaceful purposes.	iran insists that its nuclear program is for peaceful purposes	3.6
2130								Authorities had no evidence to suggest the two incidents were connected.	There was no immediate evidence that the two incidents were connected, police said.	5.0
6121	318	main-captions	MSRvid	2012test	479	none	none	A woman is chopping an onion.	A woman is slicing partially into half of an onion.	3.2
7868	2065	main-forum	deft-forum	2014	65	none	none	Slutstamp! A dear friend from Ohio sent me this.	A dear friend from Ohio sent me this.	3.6
6430	627	main-captions	MSRvid	2012train	196	none	none	A man is playing a piano.	A woman is peeling a potato.	0.0
5872	69	main-captions	MSRvid	2012test	105	none	none	A man is playing the guitar and singing.	A man is playing the guitar.	2.917
6529	726	main-captions	MSRvid	2012train	331	none	none	A woman is cutting an onion.	A woman is rowing a boat.	0.8
5696								It appears that the machine was cracked using a ptrace exploit by a local user immediately after the exploit was posted on BugTraq.\"	\"It appears that the machine was cracked using a ptrace exploit by a local user immediately after the exploit was posted,\" it added.	5.0
1619								\"Arifin has disclosed to the ISD that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand,\" the government said.	\"Arifin has disclosed . . . that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand.	5.0
8577	2774	main-news	MSRpar	2012test	489	none	none	Det Chief Insp Norman McKinlay said there was \"evidence a body or bodies have been in this area\".	Detective Chief Inspector Norman McKinlay, leading the investigation, said: \"There is evidence a body or bodies have been in this area.	4.5
9737	3934	main-news	headlines	2013	229	none	none	Mob kills man for burning Quran	Pakistani Mob Kills Man 'for Burning Koran'	4.0
7733	1930	main-captions	images	2015	1301	none	none	A man is wind sailing in the ocean.	A dog is running through the ocean.	1.4
304								In New Hampshire yesterday, Mr Bush reiterated Saddam's regime \"possessed and used weapons of mass destruction, sponsored terrorist groups and inflicted terror on its own people\".	\"The regime of Saddam Hussein possessed and used weapons of mass destruction, sponsored terrorist groups and inflicted terror on its own people.\"	5.0
7608	1805	main-captions	images	2015	918	none	none	A man on a bike nest to a river.	A man on a bike does a very high jump.	1.2
2497								The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada - the FDA's counterpart in Canada.	The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada, which serves a similar role as the FDA for the Canadian government.	5.0
6479	676	main-captions	MSRvid	2012train	260	none	none	Two men are dancing.	Two women are shopping.	0.4
2633								U.S. manufacturing growth expanded for the third straight month in September but at a slower pace, according to a report released shortly after the opening bell.	US manufacturing grew for the third consecutive month in September, but at a slower rate than in previous months, according to a survey released Wednesday.	5.0
1699								The Tuesday Supreme Court announcement stems from an appeal involving Michael Newdow, a California atheist whose 9-year-old daughter, like most elementary schoolchildren, hears the pledge recited daily.	The Supreme Court justices agreed to hear an appeal involving a California atheist whose 9-year-old daughter, like most elementary school children, hears the Pledge of Allegiance recited daily.	5.0
11496	5693	main-news	headlines	2016	1136	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Texas sues over Syrian refugees	Turkey 'exploits' Syrian refugees	1.0
10666	4863	main-news	headlines	2014	638	none	none	Cyprus bailout remarks alarm markets	Why Cyprus bailout is nothing more than usual euro nonsense	2.6
7275	1472	main-captions	images	2014	710	none	none	A small plane parked at an airfield with a cloudy sky overhead.	A small white plane parked in an airport on a cloudy day.	4.6
10907	5104	main-news	headlines	2015	386	none	none	Moon rocks indicate earth's orb born of collision	Indian minister killed in head-on collision	0.0
2407								\"My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.\"	My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,\" Mr. Shelby said on NBC's \"Meet the Press.\"	5.0
11550	5747	main-news	headlines	2016	1470	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	China, India vow to further bilateral ties	China Scrambles to Reassure Jittery Stock Traders	0.0
7546	1743	main-captions	images	2015	741	none	none	A boy plays baseball.	A man is playing baseball.	3.0
4626								WHO spokeswoman Maria Cheng agreed, saying: \"It looks very much like an isolated event.\"	\"It looks very much like an isolated event,\" World Health Organization spokeswoman Maria Cheng said.	5.0
4219								Southwest said it recently exercised remaining options for the delivery of nine Boeing 737-700s next year.	Boeing said yesterday that Southwest exercised options to purchase 15 737s for delivery next year.	5.0
11342	5539	main-news	headlines	2015	1476	none	none	A society fraying at the edges	Old TV alignments crack at the edges	0.4
6382	579	main-captions	MSRvid	2012train	126	none	none	A man is singing.	A man is dancing.	0.5
5799								\"We have concluded that the outlook for price stability over the medium term has improved significantly since our last decision to lower interest rates,\" Duisenberg said.	In a statement, the ECB said the outlook for price stability over the medium term had \"improved significantly\" since its last decision to lower interest rates in March.	5.0
8027	2224	main-forum	deft-forum	2014	224	none	none	What are they trying to hide?	I then asked: What are they trying to hide?	3.6
1966								Singer Brandy and her husband, Robert Smith, have called it quits.	Brandy and Husband SplitR'n'b star Brandy and Robert Smith, her husband of two years have split up.	5.0
245								While some other parts of Africa have been used as staging grounds for the terror group, Malawi previously had not been a major focus of investigations into al-Qaida.	While some other parts of Africa have been used as Al Qaeda staging grounds, Malawi had previously not been a major focus of investigations into the group.	5.0
10068	4265	main-news	headlines	2013	640	none	none	Obama's poll rating drops in boost for Republican rivals	Obama's big Hispanic win worries Republicans	1.0
1287								U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.	U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours.	0.0
5266								A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.	A nationally board-certified teacher with a master's degree, Kelley makes $65,000 in his 30th year.	5.0
2444								On Saturday, a 149mph serve against Agassi equalled Rusedski's world record.	On Saturday, Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi.	0.0
5383								With the Fourth of July weekend approaching, state parks such as the Spruce Run Recreation Area in Union Township will be open.	With the Fourth of July weekend approaching, state parks such as Parvin State Park in Salem County will be open.	5.0
8211	2408	main-forum	deft-forum	2014	408	none	none	billion . Everyone in the world at Mexico's current prosperity level.	Everyone in the world at the current \"prosperity\" level of Northwest Africa.	1.53333333333333
10619	4816	main-news	headlines	2014	581	none	none	Three freed in centre abuse probe	Three storey building collapses in Ebute Meta	0.0
7390	1587	main-captions	images	2015	267	none	none	A softball player swinging at a pitch.	A baseball player hitting the ball	2.8
1429								For legal purposes, J.P. Morgan and Citigroup neither admit nor deny the SEC charges under the settlements.	The banks did not admit or deny the SEC charges under the settlements.	5.0
11458	5655	main-news	headlines	2016	848	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Top Asian News at 2:30 p.m. GMT	Top Asian News 1:25 p.m. GMT	1.0
839								John Jacoby, the fire department's battalion chief, arrived.	Fire Chief John Jacoby arrived, joining Moriarty at the top of the embankment.	0.0
8384	2581	main-news	MSRpar	2012test	217	none	none	Neither military action nor large-scale bribery can solve the North Korean problem, Wolfowitz said.	Indeed, Wolfowitz admitted Saturday that neither military action nor \"large scale bribery\" would solve the issue.	3.0
10078	4275	main-news	headlines	2013	654	none	none	Chinese stocks fall after RRR cut - May 14	Chinese stocks gain at midday Monday	2.0
700								An injured woman co-worker also was hospitalized and was listed in good condition.	A woman was listed in good condition at Memorial's HealthPark campus, he said.	5.0
8133	2330	main-forum	deft-forum	2014	330	none	none	The primary focus of Systematic Dialectics is syn chronic, not dia chronic.	Thus, Meta - System - atic Dialectic is Diachronico - Synchronic Dialectic.	2.2
11349	5546	main-news	headlines	2015	1486	none	none	World sends emergency relief to battered Philippines	Typhoon Haiyan: world sends relief to battered Philippines	5.0
8284	2481	main-news	MSRpar	2012test	53	none	none	Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.	Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene.	3.333
3376								The plea makes Grass the second high-ranking Rite Aid executive to strike a deal with federal prosecutors in the past two weeks.	Grass is the second of the Rite Aid defendants to strike a deal with federal prosecutors this month.	5.0
11481	5678	main-news	headlines	2016	1028	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Israeli forces arrest 21 Palestinians overnight, clash with locals	Israeli security forces arrest 8 Palestinians in overnight West Bank sweeps	1.0
4470								A US programmer has developed a software tool that allows users to download shared music files using Apples Windows iTunes software, which was released last month.	Independent US programmer Bill Zeller has developed software that lets users download shared music files using iTunes for Windows.	5.0
4712								\"The gloves are off,\" said UNIFI official Rob O'Neill.	Unifi official Rob O'Neill said: \"The gloves are off.	5.0
2233								The hearing came one day after the Pentagon for the first time singled out an officer, Dallager, for failing to address the scandal.	The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.	5.0
6953	1150	main-captions	images	2014	217	none	none	A white jeep parked in front of a store.	A white Jeep parked on a street.	3.5
5299								The woman, Mary Kathryn Miller, 55, was arrested by the state police on Nov. 20 and charged with first-degree larceny.	Mary Kathryn Miller, 55, of 27 Devon Road, Darien, was arrested Nov. 20 by state police and charged with first-degree larceny.	5.0
7955	2152	main-forum	deft-forum	2014	152	none	none	My teachers have told me it is bad for you.	officers have told me its bad for you.	2.2
2629								Dick is going to be there as long as Dick wants to be there,\" Reuters reports Langone as saying.	\"Dick is going to be there as long as Dick wants to be there.\"	5.0
3618								It has a margin of error of plus or minus 4 percentage points.	That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.	0.0
6710	907	main-captions	MSRvid	2012train	611	none	none	Meat is dropped into a pan.	A woman is putting meat in a pan.	3.25
3863								It features a 4K color screen and 40-tone polyphonic sound with exchangeable Style-Up front panels.	The Z200 features a color screen and 40-tone polyphonic sounds.	0.0
5829	26	main-captions	MSRvid	2012test	40	none	none	The woman is playing the flute.	A woman is playing a flute.	5.0
6485	682	main-captions	MSRvid	2012train	269	none	none	A man is dancing on the road.	A man is dancing.	3.25
7595	1792	main-captions	images	2015	877	none	none	a man walks two dogs on leashes down the street	A man walks two dogs in the city.	4.2
6441	638	main-captions	MSRvid	2012train	210	none	none	A kid is playing an instrument.	A young boy is playing a wind instrument.	3.8
10360	4557	main-news	headlines	2014	262	none	none	UN presses need for major boost in Syrian aid	UN chief presses for major boost in Syrian aid	4.8
7262	1459	main-captions	images	2014	688	none	none	The man poses for a photo in front of the train.	A man stands on a platform in front of a silver train.	3.4
3459								Shirley Hazzard and Edward P. Jones, both of whom needed more than a decade to complete their current novels, are among this year's nominees.	Shirley Hazzard and Edward P. Jones, both of whom needed more than a decade to complete their current novels, were also among the fiction finalists announced Wednesday.	5.0
9621	3818	main-news	headlines	2013	87	none	none	No damage, tsunami after 6.6 quake hits off Indonesia's Sumatra	5.9 quake hits Indonesia s Sumatra: USGS	1.6
7217	1414	main-captions	images	2014	615	none	none	Two men standing on beach.	Two women standing in front of tour bus.	0.0
7914	2111	main-forum	deft-forum	2014	111	none	none	Double Jeopardy actually enforces a jury nullification.	As far as legality goes I can use jury nullification.	2.2
101								In his speech, Cheney praised Barbour's accomplishments as chairman of the Republican National Committee.	Cheney returned Barbour's favorable introduction by touting Barbour's work as chair of the Republican National Committee.	5.0
200								\"I would like the FCC to start all over,\" said Sen. Kay Bailey Hutchison, R-Texas, who supported reversing the rules.	\"I would like the FCC to start all over again,\" said Sen. Kay Bailey Hutchison, R-Texas, who expressed concern about \"potentially dangerous\" newspaper-broadcast combinations.	0.0
7615	1812	main-captions	images	2015	952	none	none	A boy doing a back flip into a swimming pool.	A boy wearing red and blue swim trunks jumping head first into a swimming pool.	2.4
9529	3726	main-news	deft-news	2014	276	none	none	the book states that the drug conveys a completely positive image.	the official stated that this was a complete technology transfer.	0.0
5048								Mitchell, Man of La Mancha, Malcolm Gets from Amour and John Selya, Movin' Out, complete the field.	Brian Stokes Mitchell, who stars in a revival of Man of La Mancha, Malcolm Gets from Amour and John Selya of Movin Out fill out the category.	5.0
9931	4128	main-news	headlines	2013	468	none	none	Tropical Storm Isaac drenches Haiti, swipes Cuba	Tropical Storm Isaac threatens dam	1.4
8152	2349	main-forum	deft-forum	2014	349	none	none	do you have anything to make it less compelling or not?	Do you have anything to make it more compelling?	2.4
8431	2628	main-news	MSRpar	2012test	283	none	none	Microsoft fell 5 percent before the open to $27.45 from Thursday's close of $28.91.	Shares in Microsoft slipped 4.7 percent in after-hours trade to $27.54 from a Nasdaq close of $28.91.	3.0
6428	625	main-captions	MSRvid	2012train	193	none	none	A woman is slicing up some meat.	A woman is slicing some onions.	2.0
8199	2396	main-forum	deft-forum	2014	396	none	none	We are all vessels filled with many wonders.	Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.	3.0
6326	523	main-captions	MSRvid	2012train	49	none	none	A man is playing a flute.	A man is playing a guitar.	2.0
6244	441	main-captions	MSRvid	2012test	666	none	none	A woman is chopping a hard egg.	A person is cutting  boiled egg into pieces.	3.533
4823								United Nations Secretary-General Kofi Annan suggested on Monday that the United States should lead a multinational force to stop fighting between government forces and rebels in Liberia.	U.N. Secretary-General Kofi Annan on Saturday called for the urgent dispatch of a multinational force to Liberia to halt fighting between government and rebel forces that has killed hundreds.	5.0
8031	2228	main-forum	deft-forum	2014	228	none	none	I don't see Obama as the lesser of two evils.	I don't see him as evil at all.	2.0
5374								In a landmark ruling yesterday, the Court of Appeals ordered the Legislature and Gov. George Pataki to fix the funding system by July 30, 2004.	In the landmark ruling regarding New York City schools, the Court of Appeals ordered the Legislature and Gov. George Pataki to fix the funding system by July 30, 2004.	5.0
9658	3855	main-news	headlines	2013	131	none	none	Nigeria plane crash: No survivors	4 Chinese among Nigeria plane crash victims	2.6
1141								Air Commodore Pietsch said a 9-11 style aircraft suicide attack was the key concern.	Air Commodore Dave Pietsch said the main concern was a September 11-style aircraft suicide attack.	5.0
2036								Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall.	Tony winners will be announced June 8 in televised ceremonies from Radio City Music Hall.	5.0
9909	4106	main-news	headlines	2013	440	none	none	Sylvester Stallone's son found dead in Hollywood	Sylvester Stalloneâ€™s son, Sage Stallone, found dead in Hol	3.4
5275								ODonnell was just 3-of-5 for 24 yards and no touchdowns or interceptions a year ago.	The 13-year veteran has passed for 21,438 yards and 118 touchdowns with 67 interceptions.	0.0
9719	3916	main-news	headlines	2013	204	none	none	Blast kills 11 in northwestern Pakistan	Bomb Kills 19 In Northwest Pakistan	2.6
4242								In Somalia, only 26% of adolescent females (aged 10-19) have heard of Aids and just 1% know how to protect themselves.	In Somalia, the report says, only 26 percent of adolescent girls have heard of AIDS and only 1 percent know how to protect themselves.	5.0
7341	1538	main-captions	images	2015	152	none	none	A white and brown dog is running over grass.	A brown and white dog is running across the grass.	4.6
4380								All along, we were basing our decisions on the best information that we had at the time,\" she said.	She insisted that throughout the mission, managers \"were basing our decisions on the best information that we had at the time.\"	5.0
10968	5165	main-news	headlines	2015	529	none	none	Super Typhoon Haiyan, Strongest of Season, Slams the Philippines	Super typhoon Haiyan closes in on the Philippines	3.4
10633	4830	main-news	headlines	2014	600	none	none	Bollywood cuts costs by a third as rupee collapse bites	Bollywood cuts costs as rupee crisis bites	4.2
10124	4321	main-news	headlines	2013	717	none	none	Sachin Tendulkar is sworn in as Indian senator	MP Sachin Tendulkar says no to govt bungalow	1.6
8995	3192	main-news	MSRpar	2012train	380	none	none	The Bishop of Armidale, Peter Brain, was forthright.	\"He hasn't got much choice,\" said the Bishop of Armidale, Peter Brain.	2.0
764								\"The lies and deceptions from Saddam have been well documented over 12 years.\"	It has been well documented over 12 years of lies and deception from Saddam.\"	5.0
6399	596	main-captions	MSRvid	2012train	151	none	none	A kangaroo is eating.	Kangaroo eating.	4.75
6697	894	main-captions	MSRvid	2012train	588	none	none	A person is slicing an onion.	A solenodon is walking along the ground.	0.0
9097	3294	main-news	MSRpar	2012train	530	none	none	The technology-laced Nasdaq Composite Index .IXIC fell 23.54 points, or 1.42 percent, to 1,630.08.	The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.	0.75
5104								The document, headlined Information for Health Care Professionals, warns of potential panic attacks, psychosis and convulsions.	The document warns of potential panic attacks, psychosis and convulsions in some cases.	5.0
4051								If the subsidies are not repealed, the European Union is threatening trade sanctions against the United States.	The European Union is threatening trade sanctions unless the subsidies are repealed.	5.0
749								For the full 12-month period ending June 30, 2003, advanced services lines for ADSL increased by 37 percent and cable modem connections increased by 75 percent.	For the 12-month period ending June 30, high-speed lines installed in homes and businesses increased by 45 percent.	0.0
3651								The Satellite's 17-inch panel offers a maximum resolution of 1,440 by 900 pixels, Toshiba said.	The new P25-S507 sports a 17-inch display with a resolution of 1,440 pixels by 900 pixels the same as Apples PowerBook.	0.0
3950								In July, EMC agreed to acquire Legato Systems (Nasdaq: LGTO) for about $1.2 billion.	In July, the Hopkinton, Mass., company agreed to buy Legato Systems of Mountain View for $1.3 billion.	5.0
5317								Their ancestors are coming home at last -- the healing can finally begin,'' delegation leader Bob Weatherall told Reuters by telephone after the ceremony.	The anguish will begin to end and the healing will commence,'' delegation leader Bob Weatherall told Reuters by telephone.	0.0
3582								The Dow Jones industrial average .DJI rose 41.61 points, or 0.44 percent, to 9,415.82.	The Dow Jones rose 41.61 points Friday, a gain of 0.4% for the day and 0.7% for the week.	0.0
9524	3721	main-news	deft-news	2014	271	none	none	both tajikistan and uzbekistan share a border with afghanistan and have experienced raids by taliban-backed islamic militants in recent years.	neighboring kyrgyzstan has also experienced raids by taliban-backed islamic militants in recent years.	1.8
8680	2877	main-news	MSRpar	2012test	649	none	none	Earlier, he told France Inter-Radio, \"I think we can now qualify what is happening as a genuine epidemic.\"	\"I think we can now qualify what is happening as a genuine epidemic,\" Health Minister Jean-Francois Mattei said on France Inter radio.	3.2
9564	3761	main-news	headlines	2013	12	none	none	Obama backs Philippines over South China Sea	Obama says clear rules needed to calm South China Sea	2.4
10729	4926	main-news	headlines	2014	717	none	none	Dozens die as clashes erupt at Morsi rally in Cairo	More than 70 dead in clashes at Morsi rallies in Egypt	3.6
8793	2990	main-news	MSRpar	2012train	55	none	none	Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.	In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.	3.2
4660								Dunlap won both the swimsuit competition and the talent portion of the competition, singing \"If I Could.\"	She won the talent portion singing \"If I Could\" and also won in evening wear.	0.0
