,index,genre,filename,year,old_index,source1,source2,sentence1,sentence2,score
4172,,,,,,,,Another $100-million in savings will come from management layoffs and pay cuts.,The airline expects to save another $100-million a year through management layoffs and pay cuts.,5.0
10313,4510.0,main-news,headlines,2014,199,none,none,Alleged cop killer died from shot to head,Alleged cop killer died from gunshot,4.2
3028,,,,,,,,"John Logsdon, a board member, said that ""human spaceflight had become a place where dissent was not welcome.""","In fact, said John Logsdon, a board member and George Washington University expert on space policy, ""human spaceflight had become a place where dissent was not welcome.""",5.0
1219,,,,,,,,"The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.","The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.",5.0
8571,2768.0,main-news,MSRpar,2012test,479,none,none,Mailblocks was founded five years after WebTV was acquired by Microsoft for $425 million.,WebTV was sold to Microsoft in 1997 for $425 million and today is called MSN TV.,2.8
3359,,,,,,,,"""Dan brings to Coca-Cola enormous experience in managing some of the world's largest and most familiar brands,"" Mr. Heyer said.","In a statement, Heyer said, ""Dan brings to Coca-Cola enormous experience in managing some of the world's largest and most familiar brands.",5.0
11064,5261.0,main-news,headlines,2015,764,none,none,Philippine quake death toll climbs to 73,Death toll in Philippines quake jumps to 85,2.8
10537,4734.0,main-news,headlines,2014,480,none,none,Stocks close 0.39% higher,Singapore stocks close 0.31 pct lower,1.6
13505,,,surprise.OnWN,2012test,,,,conscious subjective emotion or desire,the conscious subjective aspect of feeling or emotion.,4.0
4905,,,,,,,,"Johnson and four other protesters were arrested soon afterward for blocking the roadway, a state misdemeanor.","Johnson and four other protesters, ages 69 to 86, were arrested for blocking the roadway.",1.0
2946,,,,,,,,Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.,1.0
10457,4654.0,main-news,headlines,2014,374,none,none,NATO: 3 troops killed in Afghanistan attack,NATO troops killed in Afghan 'insider attack',3.0
7295,1492.0,main-captions,images,2014,740,none,none,A train is at a train station.,a train in a station.,5.0
15177,,,OnWN,2014,,,,Rise or heave upward under a natural force such as a wave.,rise or heave upward under the influence of a natural force such as a wave.,4.8
13296,,,surprise.OnWN,2012test,,,,"limit, keep under control, deter, forbid",to compel or deter by or as if by threats.,2.8
10066,4263.0,main-news,headlines,2013,638,none,none,Chinese stocks close higher midday Friday,Chinese stocks higher at midday Friday,4.6
169,,,,,,,,"The state will consider the police memorial after planning a World Trade Center Memorial, said Micah Rasmussen, a spokesman for Gov. James E. McGreevey.","The state will consider the police memorial after planning is completed on another memorial to all the victims, said Micah Rasmussen, a spokesman for Gov. James E. McGreevey.",5.0
12101,,,surprise.SMTnews,2012test,,,,Will it give us the right to divorce the husbands who abandon us?,They would give the right to divorce the husbands who would have abandoned them?,4.0
12165,,,surprise.SMTnews,2012test,,,,"Western Europeans, who have been spared this legacy, should heed our warnings.","Western Europeans, who have forgotten this history, should take account of our warnings.",5.0
2455,,,,,,,,"A grief-stricken old woman, disconsolate with grief, smeared her face with dirt, uttering: ""My child, my child.""","One old woman, disconsolate with grief, smeared her face with dirt, only able to utter: ""My child, my child.""",5.0
5342,,,,,,,,That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.,1.0
3110,,,,,,,,"Bob Richter, a spokesman for House Speaker Tom Craddick, had no comment about the ruling.","Bob Richter, spokesman for Craddick, R-Midland, said the speaker had not seen the ruling and could not comment.",1.0
5846,43.0,main-captions,MSRvid,2012test,64,none,none,A person is slicing a tomato.,A person is slicing some meat.,1.75
13312,,,surprise.OnWN,2012test,,,,(medicine) the capacity of an organism to defend against disease.,(medicine) the condition in which an organism can resist disease.,4.0
10371,4568.0,main-news,headlines,2014,275,none,none,Purge sends chilling message to North Korea's elite,Purge of Kim uncle sends chilling message to North Korea’s elite,4.0
8815,3012.0,main-news,MSRpar,2012train,86,none,none,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,2.6
12276,,,surprise.SMTnews,2012test,,,,"The old version of the European response--what psychologists might call ""dollar envy""--will only become more acute.","The old version of the European reaction (what psychologists call ""'s desire dollar"") will become more pervasive.",5.0
13400,,,surprise.OnWN,2012test,,,,"secondary public school, grades 9-12",a public secondary school usually including grades 9 through 12.,4.75
9900,4097.0,main-news,headlines,2013,431,none,none,France says Greece must show credibility for eurozone,France's Hollande backs Greece but urges credible reform,1.8
304,,,,,,,,"In New Hampshire yesterday, Mr Bush reiterated Saddam's regime ""possessed and used weapons of mass destruction, sponsored terrorist groups and inflicted terror on its own people"".","""The regime of Saddam Hussein possessed and used weapons of mass destruction, sponsored terrorist groups and inflicted terror on its own people.""",5.0
8419,2616.0,main-news,MSRpar,2012test,266,none,none,But the justices ruled that the police supervisor who repeatedly questioned Martinez did not violate his Fifth Amendment rights in doing so.,But the justices ruled that the police supervisor who repeatedly questioned Mr Martinez as he screamed in pain did not violate his Fifth Amendment rights.,3.75
10709,4906.0,main-news,headlines,2014,694,none,none,Typhoon survivors raid Philippine stores,Typhoon Bopha kills 15 in S. Philippines,1.2
5355,,,,,,,,"Without admitting or denying the S.E.C.'s allegations, Mr. Markovitz agreed to a permanent ban from associating with an investment adviser or mutual fund.",He has agreed to a lifetime ban from association with an investment adviser or mutual fund.,1.0
14382,,,OnWN,2013,,,,"the act of cutting off length, snipping off",the act of clipping or snipping.,4.2
5424,,,,,,,,He was sentenced to five years in prison at at Kingston Crown Court yesterday after pleading guilty to the attempted abduction of a teenager.,"Former postal worker, Douglas Lindsell, was sentenced yesterday at Kingston Crown Court after pleading guilty to attempting to abduct a young girl.",5.0
3581,,,,,,,,Water samples are being tested in a state lab to determine what caused the reaction.,Water samples are being sent to the state health department for analysis.,5.0
10623,4820.0,main-news,headlines,2014,585,none,none,UN confirms sarin used in Syria attack,'War crime': U.N. finds sarin used in Syria chemical weapons attack,3.4
5363,,,,,,,,"Four people were found shot to death along a highway Tuesday morning and three others were wounded in a possible dispute involving immigrant smuggling, officials said.","Four people were found shot to death along a highway Tuesday and four others were wounded in a dispute that apparently involved immigrant smugglers, officials said.",5.0
8814,3011.0,main-news,MSRpar,2012train,85,none,none,"Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy.",Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.,2.75
15305,,,OnWN,2014,,,,Advance; contribute to the progress or growth of.,contribute to the progress or growth of.,4.85
12613,,,SMTeuroparl,2012train,,,,I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.,"I know that in France, the principle of demolition of the whole herd was applied and that does not seem the best means of fighting this phenomenon.",4.2
15161,,,OnWN,2014,,,,"lessen in force, impact, or effect",lessen in force or effect.,5.0
8251,2448.0,main-forum,deft-forum,2014,448,none,none,Could this have been an enema?,"@ossobuco, Could this have been an enema?",4.6
5765,,,,,,,,"After consulting with experts, he said he was advised a delay will give Luna his best chance of reuniting with ""L"" Pod, his family.","Experts say the delay will give Luna his best chance of reuniting with ""L"" Pod, his family, Thibault said.",5.0
4345,,,,,,,,"On Monday, Christian Ganczarski was apprehended at the airport and was to appear before an anti-terrorism judge soon, the officials said.","On Monday, Christian Ganczarski was apprehended at the airport and was to appear before an anti-terrorism judge in the coming days, the officials said on condition of anonymity.",5.0
4874,,,,,,,,"He said there was no indication, so far, that Gehring used his card for hotels, motels or other overnight stops.","There is no indication, so far, that Gehring used his card at any motel or overnight lodging, he said.",5.0
15996,,,tweet-news,2014,,,,Cool stuff: 6 trends we saw at CES 2013 -,6 trends from CES 2013,4.6
12731,,,SMTeuroparl,2012train,,,,"Mr Gayssot, Greek ships have sunk without warning, when there were no storms in the vicinity.","Greek vessels flowed, without any storm in around, Mr Gayssot.",2.6
15478,,,tweet-news,2014,,,,#Photos: #KimJongUn and his army forces,Photos: Kim Jong Un and his military,5.0
6741,938.0,main-captions,MSRvid,2012train,652,none,none,The women are sitiing down.,Two women are sitting close to each other and talking.,2.6
4811,,,,,,,,"Voyager 2, also launched in 1977, lags some 1.6 billion miles behind Voyager 1.","Voyager 1 was launched on September 5, 1977, 16 days after its companion, Voyager 2.",5.0
9388,3585.0,main-news,deft-news,2014,135,none,none,"the vietnam news agency reported that the ministry of public security stated that foreigners involved in drug trafficking cases in vietnam came mostly from laos, cambodia, australia, china, the united states and taiwan.",the vietnam news agency reported that the ministry of public security stated that police admitted that drug trafficking into vietnam is increasing but actions to prevent and stop the drug trafficking along the borders remained limited.,3.8
3737,,,,,,,,Wall Street was also waiting for aluminum maker Alcoa Inc. AA.N to report earnings after the close.,Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.,5.0
6377,574.0,main-captions,MSRvid,2012train,116,none,none,The cat played with a watermelon.,A cat is playing with a watermelon.,4.8
5238,,,,,,,,"I thought things went a bit overboard but I prefer to leave it on the field,"" Sarwan said.","""A lot of things (were said), but I'd prefer to leave it on the field,"" he said.",1.0
8314,2511.0,main-news,MSRpar,2012test,106,none,none,"The value will total about $124 million, including convertible securities, according to Corel.","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.",5.0
3337,,,,,,,,It would now take place some time before August 8 in Auckland.,The meeting would now be held before August 8.,1.0
6185,382.0,main-captions,MSRvid,2012test,582,none,none,The man is putting chicken into the container.,A man is putting foods in a box.,2.5
5173,,,,,,,,"For the week, the Russell 2000, the barometer of smaller company stocks, advanced 11.92, or 2.5 percent, closing at 497.42.","The Russell 2000 index, which tracks smaller company stocks, was up 1.02, or 0.21 percent, at 496.83.",5.0
12678,,,SMTeuroparl,2012train,,,,"After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.","Indeed, there is absolutely no doubt that the definition of fair price that is proposed is better than another, because the definitions used in the Member States currently sufficient all amply.",4.5
11813,,,SMTeuroparl,2012test,,,,I am one of those Members who attends sittings quite faithfully.,I am one of the Members who are quite honourably here.,4.167
3627,,,,,,,,Shiite Muslims account for about a third of Quetta's of 1.2 million people.,About 80 percent of Pakistan's 140 million people are Sunnis.,1.0
5943,140.0,main-captions,MSRvid,2012test,204,none,none,someone is slicing a vegetable.,Someone is slicing a tomato.,3.0
149,,,,,,,,"In connection with the incident, I have acknowledged that I behaved inappropriately.""","""I have acknowledged that I behaved inappropriately,"" he said.",5.0
8495,2692.0,main-news,MSRpar,2012test,377,none,none,"The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people, including seven Americans.","Bush, however, also lashed out at the terrorist bombings in Saudi Arabia that killed at least 29 people -- including a number of Americans.",3.2
7696,1893.0,main-captions,images,2015,1199,none,none,a group of teenagers are jumping in the air on the beach.,A group of young people jump up in the air while on the beach.,4.8
8236,2433.0,main-forum,deft-forum,2014,433,none,none,Edited by LashL: Edited to properly mask profanity.,Edited by LashL: Edited to properly mask profanity in quoted post.,4.8
1722,,,,,,,,Bethany Hamilton remained in stable condition Saturday after the attack Friday morning.,"Bethany, who remained in stable condition after the attack Friday morning, talked of the attack Saturday.",1.0
351,,,,,,,,The appeals court judges were in sharp disagreement over what should be done when they ruled in February.,The appellate judges were in sharp disagreement when they ruled in February.,5.0
7064,1261.0,main-captions,images,2014,384,none,none,Ten sheep looking at the camera.,A cat on its back looking at the camera.,1.2
10731,4928.0,main-news,headlines,2014,719,none,none,Spanish train crash driver to be questioned,Spanish train driver Garzon to be questioned by judge,3.8
13183,,,surprise.OnWN,2012test,,,,social ranking or position,the relative position or standing of things or especially persons in a society.,4.0
9509,3706.0,main-news,deft-news,2014,256,none,none,the united states dismissed the action as nuclear blackmail.,the united states said it would stand up to nuclear blackmail and has ruled out negotiations.,2.2
3488,,,,,,,,FBI spokesman Steve Lazarus did not immediately return a phone call for comment on Friday.,Adaptable and Carter's Trading Co. did not immediately return calls seeking comment on Wednesday.,1.0
16344,,,belief,2015,,,,"the conservatives are currently on 37% of the vote, labour on 28% and the lib dems on 23%.",their share of the vote has gone up just 1 point and they have lost seats.,1.17
6831,1028.0,main-captions,images,2014,43,none,none,A school bus is driving uphill on a rural road.,A race care driving along a dirt road.,1.0
1035,,,,,,,,"The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.",1.0
8845,3042.0,main-news,MSRpar,2012train,125,none,none,"Additionally, the h2210’s cradle has room to charge a second battery.",The cradle for the h2200 has space for recharging a second battery.,4.75
15832,,,tweet-news,2014,,,,NYT story on Grounding of Boeing 787s,F.A.A. Orders Grounding of U.S.-Operated Boeing 787s,3.2
708,,,,,,,,"Tuition at the six two-year community colleges will leap by $300, to $2,800.","And tuition at two-year community colleges jumps $300, or 12 percent, to $2,800.",5.0
1549,,,,,,,,Monday said it has its first customer for its controversial Intellectual Property Compliance License for SCO UNIX Rights.,SCO says it has signed the first enterprise customer to its controversial Intellectual Property Compliance License.,5.0
1925,,,,,,,,Shares of Microsoft rose 50 cents Friday to close at $28.34 a share on the Nasdaq Stock Market.,"Microsoft's stock was up 50 cents, to $28.34 a share in New York yesterday.",5.0
1906,,,,,,,,"""We condemn the Governing Council headed by the United States,"" Muqtada al Sadr said in a sermon at a mosque.","""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said.",5.0
11405,5602.0,main-news,headlines,2016,407,Europe Media Monitor (http://emm.newsbrief.eu),Europe Media Monitor (http://emm.newsbrief.eu),Mandela's condition has 'improved',Mandela's condition has 'worsened over past 48 hours',1.0
4866,,,,,,,,"The premium edition adds OfficeFront Page 2003, Acceleration Server 2000, and SQL Server 2000.","The premium edition adds ISA Server, SQL Server and a specialized edition of BizTalk 2004.",1.0
11014,5211.0,main-news,headlines,2015,651,none,none,Mandela remains in hospital,Mandela remains in 'intensive care',3.6
10572,4769.0,main-news,headlines,2014,527,none,none,Four dead in Indonesia train accident,Five dead as Indonesia train collides with fuel truck,3.4
3582,,,,,,,,"The Dow Jones industrial average .DJI rose 41.61 points, or 0.44 percent, to 9,415.82.","The Dow Jones rose 41.61 points Friday, a gain of 0.4% for the day and 0.7% for the week.",1.0
8971,3168.0,main-news,MSRpar,2012train,329,none,none,The New York Mets then selected outfielder Lastings Milledge from Lakewood Ranch High School in Florida.,"The Mets took Lastings Milledge, an outfielder from Florida, with the 12th pick.",3.8
14102,,,OnWN,2013,,,,Advance; contribute to the progress or growth of.,contribute to the progress or growth of.,4.2
3647,,,,,,,,The news came as authorities in Taiwan quarantined hundreds at two major hospitals amid fears of a widespread epidemic of Severe Acute Respiratory Syndrome on the self-governing island.,The threat came as Taiwanese authorities quarantined hundreds at two hospitals amid fears of an epidemic of severe acute respiratory syndrome.,5.0
2359,,,,,,,,"About 1,000 people attended the ceremony, kicking off two days of observances tied to the March on Washington.","About 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the March on Washington on Aug. 28, 1963.",5.0
9660,3857.0,main-news,headlines,2013,134,none,none,Strong earthquake hits Mexico,Strong earthquake strikes near Acapulco,3.6
12271,,,surprise.SMTnews,2012test,,,,This has left the Conservative opposition without an effective response.,That leaves the opposition and without any effective response.  ,4.0
16189,,,belief,2015,,,,given the israeli mentality i would say we will see them strike iran.,would't be shocked if they used nukes either tbh given the israeli mentality i would say we will see them strike iran.,3.8
99,,,,,,,,York had no problem with MTA's insisting the decision to shift funds had been within its legal rights.,York had no problem with MTA's saying the decision to shift funds was within its powers.,5.0
12566,,,SMTeuroparl,2012train,,,,"These objectives, the main one and the secondary ones, will be the touchstone by which the concrete proposals submitted by the Commission must be judged.","These objectives, the objective of primary and secondary objectives, the cornerstone of allowing us to judge the concrete proposals by the Commission.  ",4.6
9645,3842.0,main-news,headlines,2013,115,none,none,Olympics Opening Ceremony A Hit Around Globe,Opening ceremony gives Olympics a rocking start,4.2
9942,4139.0,main-news,headlines,2013,484,none,none,Mauritanian president shot by army unit,Mauritanian president shot at,3.8
5773,,,,,,,,"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries.",5.0
14689,,,OnWN,2014,,,,"feel anxious, concerned, uneasy, or apprehensive about",be afraid or feel anxious or apprehensive about a possible or probable situation or event.,4.0
